StockNumber,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
SPY3491,14/11/2023,437.5717134,441.2383963,437.3462109,439.9344788,97176900,0,0,0
PG3491,14/11/2023,147.9423342,148.8636371,147.0986019,147.5253143,7982600,0,0,
JNJ3491,14/11/2023,140.8449606,141.7035328,140.2057987,140.8640442,6713600,0,0,
SPY3490,13/11/2023,430.620654,432.6794679,429.8265332,431.5618286,52236100,0,0,0
PG3490,13/11/2023,146.8755688,148.2817697,146.8755688,147.855072,6297500,0,0,
JNJ3490,13/11/2023,140.4729338,141.0930122,139.9005425,140.8354492,5889300,0,0,
SPY3489,10/11/2023,427.4343497,432.2873066,425.326468,431.9735718,89462200,0,0,0
PG3489,10/11/2023,146.2839861,146.8658694,145.3917758,146.8367767,5387200,0,0,
JNJ3489,10/11/2023,141.4268759,141.6653698,138.9369992,140.4729004,6930700,0,0,
SPY3488,09/11/2023,429.8363316,429.8755559,424.9049258,425.3363037,83174400,0,0,0
PG3488,09/11/2023,145.2172161,145.8087921,144.6159327,145.8087921,6581500,0,0,
JNJ3488,09/11/2023,143.5733328,143.5733328,140.4824465,140.6350861,6973600,0,0,
SPY3487,08/11/2023,428.9735816,429.5030055,426.3461194,428.6794739,61746000,0,0,0
PG3487,08/11/2023,146.4003828,146.6331243,144.994167,145.4790649,4832600,0,0,
JNJ3487,08/11/2023,144.3841971,144.8421012,143.4206725,143.4302216,5460000,0,0,
SPY3486,07/11/2023,427.1500375,429.0127896,425.9931739,428.3657227,64256100,0,0,0
PG3486,07/11/2023,146.3615688,146.6816032,145.5857293,146.0415344,6003800,0,0,
JNJ3486,07/11/2023,144.937504,145.2427831,143.7450345,143.9549103,4840400,0,0,
SPY3485,06/11/2023,426.9343354,427.6009996,425.1794129,427.1500244,67831700,0,0,0
PG3485,06/11/2023,145.8184981,146.6816158,145.5663565,146.3809814,6480800,0,0,
JNJ3485,06/11/2023,144.7944137,145.414492,144.4032802,144.7180939,4851400,0,0,
SPY3484,03/11/2023,424.6500103,427.738261,424.5225537,426.1696167,100110800,0,0,0
PG3484,03/11/2023,147.2052817,147.6901795,145.1008268,145.5372467,6587700,0,0,
JNJ3484,03/11/2023,144.2506726,145.2618845,143.2394461,144.3746796,4925500,0,0,
SPY3483,02/11/2023,418.2186508,422.4736094,418.1990536,422.3167419,94938900,0,0,0
PG3483,02/11/2023,145.0232544,147.0695241,144.4122931,146.8658752,5859200,0,0,
JNJ3483,02/11/2023,140.91173,143.4779119,140.7495413,143.3252869,5349100,0,0,
SPY3482,01/11/2023,410.9833158,415.1990199,410.4440783,414.3754883,98068100,0,0,0
PG3482,01/11/2023,146.1288145,146.1288145,144.7032284,145.0911407,5896900,0,0,
JNJ3482,01/11/2023,142.3236217,142.8673802,141.6272236,141.8466339,5733000,0,0,
SPY3481,31/10/2023,408.0224132,410.3263566,406.0910261,410.0028381,79665200,0,0,0
PG3481,31/10/2023,144.9456982,145.721523,144.1504584,145.4984741,6762100,0,0,
JNJ3481,31/10/2023,140.7495577,141.7035333,139.8909854,141.5127411,7576900,0,0,
SPY3480,30/10/2023,405.4537916,408.5126315,404.1400605,407.4440002,86562700,0,0,0
PG3480,30/10/2023,143.432771,145.0329428,143.083644,144.7516937,5412800,0,0,
JNJ3480,30/10/2023,139.3663068,140.4633876,139.2804525,140.2630463,8205300,0,0,
SPY3479,27/10/2023,406.071459,406.4734262,401.1890613,402.630249,107367700,0,0,0
PG3479,27/10/2023,144.4801695,145.4208726,141.8617239,142.7151489,8131800,0,0,
JNJ3479,27/10/2023,141.6558383,141.8180124,138.2787566,138.8988495,11385800,0,0,
SPY3478,26/10/2023,408.2872033,409.1499294,403.5322619,404.463623,115156800,0,0,0
PG3478,26/10/2023,146.487666,146.8077004,145.2172358,145.2754211,7582100,0,0,
JNJ3478,26/10/2023,144.9756732,144.9756732,142.0278921,142.1423645,7612500,0,0,
SPY3477,25/10/2023,413.6205278,413.6499386,408.8459598,409.3655701,94223200,0,0,0
PG3477,25/10/2023,145.1202438,146.6234302,144.6159458,146.0512543,6172900,0,0,
JNJ3477,25/10/2023,144.2792872,145.1664776,143.3157625,144.594101,5880800,0,0,
SPY3476,24/10/2023,414.3656143,416.4930932,412.4930487,415.326416,78564200,0,0,0
PG3476,24/10/2023,143.6461403,145.5372538,143.5976623,145.3723755,6322000,0,0,
JNJ3476,24/10/2023,143.8118254,144.9661423,143.2203652,144.2697296,6155300,0,0,
SPY3475,23/10/2023,411.3852522,416.1304102,409.6107322,412.2185974,92035100,0,0,0
PG3475,23/10/2023,143.3939977,144.9844621,143.103056,143.6752319,5981800,0,0,
JNJ3475,23/10/2023,145.8247394,146.4352833,144.2506851,144.4223938,5874000,0,0,
SPY3474,20/10/2023,417.6303539,418.179375,412.8263752,412.9342346,123845800,0,0,0
PG3474,20/10/2023,144.5480734,145.3530058,143.4521994,143.5782776,7283900,0,0,
JNJ3474,20/10/2023,145.7102388,146.7882213,145.3191053,145.9582672,7206600,0,0,
SPY3473,19/10/2023,422.5029558,424.3362971,417.3852719,418.0715332,121323000,0,0,0
PG3473,19/10/2023,145.0911396,145.7409009,142.7345283,143.7722168,8146000,1,0,
JNJ3473,19/10/2023,144.6894774,146.0632046,143.2394305,145.3095703,7733800,0,0,
SPY3472,18/10/2023,425.6794648,426.6500503,420.6794237,421.7774658,93559800,0,0,0
PG3472,18/10/2023,144.6148019,145.8098116,143.3716184,144.5858917,10508500,0,0,
JNJ3472,18/10/2023,148.2573301,148.7724705,145.051972,145.7006683,9097300,0,0,
SPY3471,17/10/2023,424.3264993,429.5520428,423.97357,427.4735718,75324700,0,0,0
PG3471,17/10/2023,140.8081162,141.4923589,139.9696905,140.9526672,6160100,0,0,
